Country Name,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,Stringency Index,Government Response Index,Containment Health Index,Economic Support Index
Australia,20210206,3,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,3,0,2,63.43,60.42,61.9,50
Australia,20210207,3,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,3,0,2,63.43,60.42,61.9,50
Australia,20210208,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,3,0,2,56.02,56.25,57.14,50
Australia,20210209,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,3,0,2,56.02,56.25,57.14,50
Australia,20210210,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,3,0,2,56.02,56.25,57.14,50
Australia,20210211,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,3,0,2,56.02,56.25,57.14,50
Australia,20210212,1,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,4,0,3,70.83,67.19,69.64,50
Australia,20210213,1,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,4,0,3,70.83,67.19,69.64,50
Australia,20210214,1,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,4,0,3,70.83,67.19,69.64,50
Australia,20210215,3,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,4,0,3,78.24,71.35,74.4,50
Australia,20210216,3,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,4,0,3,75.46,69.79,72.62,50
Australia,20210217,3,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,4,0,3,75.46,69.79,72.62,50
Australia,20210218,1,2,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,3,0,3,53.24,55.73,56.55,50
Australia,20210219,1,2,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,3,0,3,53.24,55.73,56.55,50
Australia,20210220,1,2,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,3,0,3,53.24,55.73,56.55,50
Australia,20210221,1,2,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,3,2,3,53.24,58.23,59.4,50
Australia,20210222,1,2,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,3,2,3,53.24,58.23,59.4,50
Australia,20210223,1,2,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,3,2,3,53.24,58.23,59.4,50
Australia,20210224,1,2,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,3,2,3,53.24,58.23,59.4,50
Australia,20210225,1,2,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,3,2,3,53.24,58.23,59.4,50
Australia,20210226,1,2,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,3,2,3,53.24,58.23,59.4,50
Australia,20210227,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,2,2,2,50.46,54.84,55.54,50
Australia,20210228,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,2,2,2,50.46,54.84,55.54,50
Australia,20210301,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,2,2,2,50.46,54.84,55.54,50
Australia,20210302,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,2,2,2,50.46,54.84,55.54,50
Australia,20210303,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,2,2,2,50.46,54.84,55.54,50
Australia,20210304,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,2,2,2,50.46,54.84,55.54,50
Australia,20210305,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,2,2,2,50.46,54.84,55.54,50
Australia,20210306,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,2,2,2,50.46,54.84,55.54,50
Australia,20210307,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,2,2,2,50.46,54.84,55.54,50
Australia,20210308,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,2,2,2,50.46,54.84,55.54,50
Australia,20210309,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,2,2,2,50.46,54.84,55.54,50
Australia,20210310,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,2,2,2,50.46,54.84,55.54,50
Australia,20210311,1,2,1,3,1,0,2,4,1,1,932740110,0,2,2,2,0,0,2,2,2,50.46,53.8,54.35,50
Australia,20210312,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,2,2,2,50.46,53.8,54.35,50
Australia,20210313,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,2,2,2,50.46,53.8,54.35,50
Australia,20210314,1,2,1,3,1,0,2,4,1,1,0,0,2,2,2,854085674,0,2,2,2,50.46,53.8,54.35,50
Australia,20210315,1,2,1,3,1,0,1,4,1,1,0,0,2,2,2,0,0,2,2,2,44.91,50.68,50.77,50
Australia,20210316,1,2,1,3,1,0,1,4,1,1,0,0,2,2,2,0,0,2,2,2,44.91,50.68,50.77,50
Australia,20210317,1,2,1,3,1,0,1,4,1,1,0,0,2,2,2,0,0,2,2,2,44.91,50.68,50.77,50
Australia,20210318,1,2,1,3,1,0,1,4,1,1,0,0,2,2,2,0,0,2,2,2,44.91,50.68,50.77,50
Australia,20210319,1,2,1,3,1,0,1,4,1,1,0,0,2,2,2,0,0,2,2,2,44.91,50.68,50.77,50
